congress,senator_name,senator_state,senator_party
89th,Mike Mansfield,Montana,Democratic
89th,Carl Curtis,Nebraska,Republican
89th,Roman Hruska,Nebraska,Republican
89th,Alan Bible,Nevada,Democratic
89th,Howard Cannon,Nevada,Democratic
89th,Norris Cotton,New Hampshire,Republican
89th,Thomas J. McIntyre,New Hampshire,Democratic
89th,Clifford P. Case,New Jersey,Republican
89th,Harrison A. Williams,New Jersey,Democratic
89th,Clinton Anderson,New Mexico,Democratic
89th,Joseph Montoya,New Mexico,Democratic
89th,Jacob K. Javits,New York,Republican
89th,Robert F. Kennedy,New York,Democratic
89th,Ben Jordan,North Carolina,Democratic
89th,Sam Ervin,North Carolina,Democratic
89th,Milton Young,North Dakota,Republican
89th,Quentin Northrup Burdick,North Dakota,Democratic
89th,Frank J. Lausche,Ohio,Democratic
89th,Stephen Young,Ohio,Democratic
89th,Almer Monroney,Oklahoma,Democratic
89th,Fred R. Harris,Oklahoma,Democratic
89th,Maurine Neuberger,Oregon,Democratic
89th,Wayne Morse,Oregon,Democratic
89th,Hugh Scott,Pennsylvania,Republican
89th,Joseph S. Clark,Pennsylvania,Democratic
89th,Claiborne Pell,Rhode Island,Democratic
89th,John O. Pastore,Rhode Island,Democratic
89th,Donald S. Russell,South Carolina,Democratic
89th,Ernest Hollings,South Carolina,Democratic
89th,Olin D. Johnston,South Carolina,Democratic
89th,Strom Thurmond,South Carolina,Republican
89th,George McGovern,South Dakota,Democratic
89th,Karl Mundt,South Dakota,Republican
89th,"Albert Gore, Sr.",Tennessee,Democratic
89th,Ross Bass,Tennessee,Democratic
89th,John Tower,Texas,Republican
89th,Ralph Yarborough,Texas,Democratic
89th,Frank Moss,Utah,Democratic
89th,Wallace F. Bennett,Utah,Republican
89th,George Aiken,Vermont,Republican
89th,Winston L. Prouty,Vermont,Republican
89th,A. Willis Robertson,Virginia,Democratic
89th,"Harry F. Byrd, Jr.",Virginia,Democratic
89th,"Harry F. Byrd, Sr.",Virginia,Democratic
89th,"William B. Spong, Jr.",Virginia,Democratic
89th,Henry M. Jackson,Washington,Democratic
89th,Warren G. Magnuson,Washington,Democratic
89th,Jennings Randolph,West Virginia,Democratic
89th,Robert Byrd,West Virginia,Democratic
89th,Gaylord Nelson,Wisconsin,Democratic
89th,William Proxmire,Wisconsin,Democratic
89th,Gale W. McGee,Wyoming,Democratic
89th,Milward L. Simpson,Wyoming,Republican
88th,John Sparkman,Alabama,Democratic
88th,Joseph L. Hill,Alabama,Democratic
88th,Edward L. Bartlett,Alaska,Democratic
88th,Ernest Gruening,Alaska,Democratic
88th,Barry Goldwater,Arizona,Republican
88th,Carl Hayden,Arizona,Democratic
88th,J. William Fulbright,Arkansas,Democratic
88th,John Little McClellan,Arkansas,Democratic
88th,Clair Engle,California,Democratic
88th,George Murphy,California,Republican
88th,Pierre Salinger,California,Democratic
88th,Thomas Kuchel,California,Republican
88th,Gordon L. Allott,Colorado,Republican
88th,Peter H. Dominick,Colorado,Republican
88th,Abraham A. Ribicoff,Connecticut,Democratic
88th,Thomas J. Dodd,Connecticut,Democratic
88th,James Boggs,Delaware,Republican
88th,John J. Williams,Delaware,Republican
88th,George Smathers,Florida,Democratic
88th,Spessard Holland,Florida,Democratic
88th,Herman Talmadge,Georgia,Democratic
88th,"Richard Russell, Jr.",Georgia,Democratic
88th,Daniel Inouye,Hawaii,Democratic
88th,Hiram Fong,Hawaii,Republican
88th,Frank Church,Idaho,Democratic
88th,Leonard B. Jordan,Idaho,Republican
88th,Everett Dirksen,Illinois,Republican
88th,Paul Douglas,Illinois,Democratic
88th,Birch Bayh,Indiana,Democratic
88th,Vance Hartke,Indiana,Democratic
88th,Bourke B. Hickenlooper,Iowa,Republican
88th,Jack Miller,Iowa,Republican
88th,Frank Carlson,Kansas,Republican
88th,James B. Pearson,Kansas,Republican
88th,John Sherman Cooper,Kentucky,Republican
88th,Thruston Ballard Morton,Kentucky,Republican
88th,Allen J. Ellender,Louisiana,Democratic
88th,Russell B. Long,Louisiana,Democratic
88th,Edmund Muskie,Maine,Democratic
88th,Margaret Chase Smith,Maine,Republican
88th,Daniel Brewster,Maryland,Democratic
88th,James Glenn Beall,Maryland,Republican
88th,Leverett Saltonstall,Massachusetts,Republican
88th,Ted Kennedy,Massachusetts,Democratic
88th,Patrick V. McNamara,Michigan,Democratic
88th,Philip Hart,Michigan,Democratic
88th,Eugene McCarthy,Minnesota,Democratic
88th,Hubert Humphrey,Minnesota,Democratic
88th,Walter Mondale,Minnesota,Democratic
88th,James Eastland,Mississippi,Democratic
88th,John C. Stennis,Mississippi,Democratic
88th,Edward V. Long,Missouri,Democratic
88th,Stuart Symington,Missouri,Democratic
88th,Lee Metcalf,Montana,Democratic
88th,Mike Mansfield,Montana,Democratic
88th,Carl Curtis,Nebraska,Republican
88th,Roman Hruska,Nebraska,Republican
88th,Alan Bible,Nevada,Democratic
88th,Howard Cannon,Nevada,Democratic
88th,Norris Cotton,New Hampshire,Republican
88th,Thomas J. McIntyre,New Hampshire,Democratic
88th,Clifford P. Case,New Jersey,Republican
88th,Harrison A. Williams,New Jersey,Democratic
88th,Clinton Anderson,New Mexico,Democratic
88th,Edwin L. Mechem,New Mexico,Republican
88th,Joseph Montoya,New Mexico,Democratic
88th,Jacob K. Javits,New York,Republican
88th,Kenneth Keating,New York,Republican
88th,Ben Jordan,North Carolina,Democratic
88th,Sam Ervin,North Carolina,Democratic
88th,Milton Young,North Dakota,Republican
88th,Quentin Northrup Burdick,North Dakota,Democratic
88th,Frank J. Lausche,Ohio,Democratic
88th,Stephen Young,Ohio,Democratic
88th,Almer Monroney,Oklahoma,Democratic
88th,Fred R. Harris,Oklahoma,Democratic
88th,J. Howard Edmondson,Oklahoma,Democratic
88th,Maurine Neuberger,Oregon,Democratic
88th,Wayne Morse,Oregon,Democratic
88th,Hugh Scott,Pennsylvania,Republican
88th,Joseph S. Clark,Pennsylvania,Democratic
88th,Claiborne Pell,Rhode Island,Democratic
88th,John O. Pastore,Rhode Island,Democratic
88th,Olin D. Johnston,South Carolina,Democratic
88th,Strom Thurmond,South Carolina,Democratic
88th,George McGovern,South Dakota,Democratic
88th,Karl Mundt,South Dakota,Republican
88th,"Albert Gore, Sr.",Tennessee,Democratic
88th,Estes Kefauver,Tennessee,Democratic
88th,Herbert S. Walters,Tennessee,Democratic
88th,Ross Bass,Tennessee,Democratic
88th,John Tower,Texas,Republican
88th,Ralph Yarborough,Texas,Democratic
88th,Frank Moss,Utah,Democratic
88th,Wallace F. Bennett,Utah,Republican
88th,George Aiken,Vermont,Republican
88th,Winston L. Prouty,Vermont,Republican
88th,A. Willis Robertson,Virginia,Democratic
88th,"Harry F. Byrd, Sr.",Virginia,Democratic
88th,Henry M. Jackson,Washington,Democratic
88th,Warren G. Magnuson,Washington,Democratic
88th,Jennings Randolph,West Virginia,Democratic
88th,Robert Byrd,West Virginia,Democratic
88th,Gaylord Nelson,Wisconsin,Democratic
88th,William Proxmire,Wisconsin,Democratic
88th,Gale W. McGee,Wyoming,Democratic
88th,Milward L. Simpson,Wyoming,Republican
87th,John Sparkman,Alabama,Democratic
87th,Joseph L. Hill,Alabama,Democratic
87th,Edward L. Bartlett,Alaska,Democratic
87th,Ernest Gruening,Alaska,Democratic
87th,Barry Goldwater,Arizona,Republican
87th,Carl Hayden,Arizona,Democratic
87th,J. William Fulbright,Arkansas,Democratic
87th,John Little McClellan,Arkansas,Democratic
87th,Clair Engle,California,Democratic
87th,Thomas Kuchel,California,Republican
87th,Gordon L. Allott,Colorado,Republican
87th,John A. Carroll,Colorado,Democratic
87th,Prescott Bush,Connecticut,Republican
87th,Thomas J. Dodd,Connecticut,Democratic
87th,James Boggs,Delaware,Republican
87th,John J. Williams,Delaware,Republican
87th,George Smathers,Florida,Democratic
87th,Spessard Holland,Florida,Democratic
87th,Herman Talmadge,Georgia,Democratic
87th,"Richard Russell, Jr.",Georgia,Democratic
87th,Hiram Fong,Hawaii,Republican
87th,Oren E. Long,Hawaii,Democratic
87th,Frank Church,Idaho,Democratic
87th,Henry Dworshak,Idaho,Republican
87th,Leonard B. Jordan,Idaho,Republican
87th,Everett Dirksen,Illinois,Republican
87th,Paul Douglas,Illinois,Democratic
87th,Homer E. Capehart,Indiana,Republican
87th,Vance Hartke,Indiana,Democratic
87th,Bourke B. Hickenlooper,Iowa,Republican
87th,Jack Miller,Iowa,Republican
87th,Andrew F. Schoeppel,Kansas,Republican
87th,Frank Carlson,Kansas,Republican
87th,James B. Pearson,Kansas,Republican
87th,John Sherman Cooper,Kentucky,Republican
87th,Thruston Ballard Morton,Kentucky,Republican
87th,Allen J. Ellender,Louisiana,Democratic
87th,Russell B. Long,Louisiana,Democratic
87th,Edmund Muskie,Maine,Democratic
87th,Margaret Chase Smith,Maine,Republican
87th,James Glenn Beall,Maryland,Republican
87th,John M. Butler,Maryland,Republican
87th,Benjamin A. Smith II,Massachusetts,Democratic
87th,Leverett Saltonstall,Massachusetts,Republican
87th,Ted Kennedy,Massachusetts,Democratic
87th,Patrick V. McNamara,Michigan,Democratic
87th,Philip Hart,Michigan,Democratic
87th,Eugene McCarthy,Minnesota,Democratic
87th,Hubert Humphrey,Minnesota,Democratic
87th,James Eastland,Mississippi,Democratic
87th,John C. Stennis,Mississippi,Democratic
87th,Edward V. Long,Missouri,Democratic
87th,Stuart Symington,Missouri,Democratic
87th,Lee Metcalf,Montana,Democratic
87th,Mike Mansfield,Montana,Democratic
87th,Carl Curtis,Nebraska,Republican
87th,Roman Hruska,Nebraska,Republican
87th,Alan Bible,Nevada,Democratic
87th,Howard Cannon,Nevada,Democratic
87th,"Maurice J. Murphy, Jr.",New Hampshire,Republican
87th,Norris Cotton,New Hampshire,Republican
87th,Styles Bridges,New Hampshire,Republican
87th,Thomas J. McIntyre,New Hampshire,Democratic
87th,Clifford P. Case,New Jersey,Republican
87th,Harrison A. Williams,New Jersey,Democratic
87th,Clinton Anderson,New Mexico,Democratic
87th,Dennis Chavez,New Mexico,Democratic
87th,Edwin L. Mechem,New Mexico,Republican
87th,Jacob K. Javits,New York,Republican
87th,Kenneth Keating,New York,Republican
87th,Ben Jordan,North Carolina,Democratic
87th,Sam Ervin,North Carolina,Democratic
87th,Milton Young,North Dakota,Republican
87th,Quentin Northrup Burdick,North Dakota,Democratic
87th,Frank J. Lausche,Ohio,Democratic
87th,Stephen Young,Ohio,Democratic
87th,Almer Monroney,Oklahoma,Democratic
87th,Robert S. Kerr,Oklahoma,Democratic
87th,Maurine Neuberger,Oregon,Democratic
87th,Wayne Morse,Oregon,Democratic
87th,Hugh Scott,Pennsylvania,Republican
87th,Joseph S. Clark,Pennsylvania,Democratic
87th,Claiborne Pell,Rhode Island,Democratic
87th,John O. Pastore,Rhode Island,Democratic
87th,Olin D. Johnston,South Carolina,Democratic
87th,Strom Thurmond,South Carolina,Democratic
87th,Francis H. Case,South Dakota,Republican
87th,Joseph H. Bottum,South Dakota,Republican
87th,Karl Mundt,South Dakota,Republican
87th,"Albert Gore, Sr.",Tennessee,Democratic
87th,Estes Kefauver,Tennessee,Democratic
87th,John Tower,Texas,Republican
87th,Ralph Yarborough,Texas,Democratic
87th,William A. Blakley,Texas,Democratic
87th,Frank Moss,Utah,Democratic
87th,Wallace F. Bennett,Utah,Republican
87th,George Aiken,Vermont,Republican
87th,Winston L. Prouty,Vermont,Republican
87th,A. Willis Robertson,Virginia,Democratic
87th,"Harry F. Byrd, Sr.",Virginia,Democratic
87th,Henry M. Jackson,Washington,Democratic
87th,Warren G. Magnuson,Washington,Democratic
87th,Jennings Randolph,West Virginia,Democratic
87th,Robert Byrd,West Virginia,Democratic
87th,Alexander Wiley,Wisconsin,Republican
87th,William Proxmire,Wisconsin,Democratic
87th,Gale W. McGee,Wyoming,Democratic
87th,John J. Hickey,Wyoming,Democratic
87th,Milward L. Simpson,Wyoming,Republican
86th,John Sparkman,Alabama,Democratic
86th,Joseph L. Hill,Alabama,Democratic
86th,Edward L. Bartlett,Alaska,Democratic
86th,Ernest Gruening,Alaska,Democratic
86th,Barry Goldwater,Arizona,Republican
86th,Carl Hayden,Arizona,Democratic
86th,J. William Fulbright,Arkansas,Democratic
86th,John Little McClellan,Arkansas,Democratic
86th,Clair Engle,California,Democratic
86th,Thomas Kuchel,California,Republican
86th,Gordon L. Allott,Colorado,Republican
86th,John A. Carroll,Colorado,Democratic
86th,Prescott Bush,Connecticut,Republican
86th,Thomas J. Dodd,Connecticut,Democratic
86th,John J. Williams,Delaware,Republican
86th,"Joseph Frear, Jr.",Delaware,Democratic
86th,George Smathers,Florida,Democratic
86th,Spessard Holland,Florida,Democratic
86th,Herman Talmadge,Georgia,Democratic
86th,"Richard Russell, Jr.",Georgia,Democratic
86th,Hiram Fong,Hawaii,Republican
86th,Oren E. Long,Hawaii,Democratic
86th,Frank Church,Idaho,Democratic
86th,Henry Dworshak,Idaho,Republican
86th,Everett Dirksen,Illinois,Republican
86th,Paul Douglas,Illinois,Democratic
86th,Homer E. Capehart,Indiana,Republican
86th,Vance Hartke,Indiana,Democratic
86th,Bourke B. Hickenlooper,Iowa,Republican
86th,Thomas Martin,Iowa,Republican
86th,Andrew F. Schoeppel,Kansas,Republican
86th,Frank Carlson,Kansas,Republican
86th,John Sherman Cooper,Kentucky,Republican
86th,Thruston Ballard Morton,Kentucky,Republican
86th,Allen J. Ellender,Louisiana,Democratic
86th,Russell B. Long,Louisiana,Democratic
86th,Edmund Muskie,Maine,Democratic
86th,Margaret Chase Smith,Maine,Republican
86th,James Glenn Beall,Maryland,Republican
86th,John M. Butler,Maryland,Republican
86th,Benjamin A. Smith II,Massachusetts,Democratic
86th,John F. Kennedy,Massachusetts,Democratic
86th,Leverett Saltonstall,Massachusetts,Republican
86th,Patrick V. McNamara,Michigan,Democratic
86th,Philip Hart,Michigan,Democratic
86th,Eugene McCarthy,Minnesota,Democratic
86th,Hubert Humphrey,Minnesota,Democratic
86th,James Eastland,Mississippi,Democratic
86th,John C. Stennis,Mississippi,Democratic
86th,Edward V. Long,Missouri,Democratic
86th,Stuart Symington,Missouri,Democratic
86th,"Thomas C. Hennings, Jr.",Missouri,Democratic
86th,James Murray,Montana,Democratic
86th,Mike Mansfield,Montana,Democratic
86th,Carl Curtis,Nebraska,Republican
86th,Roman Hruska,Nebraska,Republican
86th,Alan Bible,Nevada,Democratic
86th,Howard Cannon,Nevada,Democratic
86th,Norris Cotton,New Hampshire,Republican
86th,Styles Bridges,New Hampshire,Republican
86th,Clifford P. Case,New Jersey,Republican
86th,Harrison A. Williams,New Jersey,Democratic
86th,Clinton Anderson,New Mexico,Democratic
86th,Dennis Chavez,New Mexico,Democratic
86th,Jacob K. Javits,New York,Republican
86th,Kenneth Keating,New York,Republican
86th,Ben Jordan,North Carolina,Democratic
86th,Sam Ervin,North Carolina,Democratic
86th,C. Norman Brunsdale,North Dakota,Republican
86th,Milton Young,North Dakota,Republican
86th,Quentin Northrup Burdick,North Dakota,Democratic
86th,William Langer,North Dakota,Republican
86th,Frank J. Lausche,Ohio,Democratic
86th,Stephen Young,Ohio,Democratic
86th,Almer Monroney,Oklahoma,Democratic
86th,Robert S. Kerr,Oklahoma,Democratic
86th,Hall S. Lusk,Oregon,Democratic
86th,Maurine Neuberger,Oregon,Democratic
86th,Richard L. Neuberger,Oregon,Democratic
86th,Wayne Morse,Oregon,Democratic
86th,Hugh Scott,Pennsylvania,Republican
86th,Joseph S. Clark,Pennsylvania,Democratic
86th,John O. Pastore,Rhode Island,Democratic
86th,Theodore F. Green,Rhode Island,Democratic
86th,Olin D. Johnston,South Carolina,Democratic
86th,Strom Thurmond,South Carolina,Democratic
86th,Francis H. Case,South Dakota,Republican
86th,Karl Mundt,South Dakota,Republican
86th,"Albert Gore, Sr.",Tennessee,Democratic
86th,Estes Kefauver,Tennessee,Democratic
86th,Lyndon Johnson,Texas,Democratic
86th,Ralph Yarborough,Texas,Democratic
86th,Frank Moss,Utah,Democratic
86th,Wallace F. Bennett,Utah,Republican
86th,George Aiken,Vermont,Republican
86th,Winston L. Prouty,Vermont,Republican
86th,A. Willis Robertson,Virginia,Democratic
86th,"Harry F. Byrd, Sr.",Virginia,Democratic
86th,Henry M. Jackson,Washington,Democratic
86th,Warren G. Magnuson,Washington,Democratic
86th,Jennings Randolph,West Virginia,Democratic
86th,Robert Byrd,West Virginia,Democratic
86th,Alexander Wiley,Wisconsin,Republican
86th,William Proxmire,Wisconsin,Democratic
86th,Gale W. McGee,Wyoming,Democratic
86th,Joseph C. O'Mahoney,Wyoming,Democratic
85th,John Sparkman,Alabama,Democratic
85th,Joseph L. Hill,Alabama,Democratic
85th,Barry Goldwater,Arizona,Republican
85th,Carl Hayden,Arizona,Democratic
85th,J. William Fulbright,Arkansas,Democratic
85th,John Little McClellan,Arkansas,Democratic
85th,Thomas Kuchel,California,Republican
85th,William F. Knowland,California,Republican
85th,Gordon L. Allott,Colorado,Republican
85th,John A. Carroll,Colorado,Democratic
85th,Prescott Bush,Connecticut,Republican
85th,William A. Purtell,Connecticut,Republican
85th,John J. Williams,Delaware,Republican
85th,"Joseph Frear, Jr.",Delaware,Democratic
85th,George Smathers,Florida,Democratic
85th,Spessard Holland,Florida,Democratic
85th,Herman Talmadge,Georgia,Democratic
85th,"Richard Russell, Jr.",Georgia,Democratic
85th,Frank Church,Idaho,Democratic
85th,Henry Dworshak,Idaho,Republican
85th,Everett Dirksen,Illinois,Republican
85th,Paul Douglas,Illinois,Democratic
85th,Homer E. Capehart,Indiana,Republican
85th,William E. Jenner,Indiana,Republican
85th,Bourke B. Hickenlooper,Iowa,Republican
85th,Thomas Martin,Iowa,Republican
85th,Andrew F. Schoeppel,Kansas,Republican
85th,Frank Carlson,Kansas,Republican
85th,John Sherman Cooper,Kentucky,Republican
85th,Thruston Ballard Morton,Kentucky,Republican
85th,Allen J. Ellender,Louisiana,Democratic
85th,Russell B. Long,Louisiana,Democratic
85th,Frederick G. Payne,Maine,Republican
85th,Margaret Chase Smith,Maine,Republican
85th,James Glenn Beall,Maryland,Republican
85th,John M. Butler,Maryland,Republican
85th,John F. Kennedy,Massachusetts,Democratic
85th,Leverett Saltonstall,Massachusetts,Republican
85th,Charles E. Potter,Michigan,Republican
85th,Patrick V. McNamara,Michigan,Democratic
85th,Edward John Thye,Minnesota,Republican
85th,Hubert Humphrey,Minnesota,Democratic
85th,James Eastland,Mississippi,Democratic
85th,John C. Stennis,Mississippi,Democratic
85th,Stuart Symington,Missouri,Democratic
85th,"Thomas C. Hennings, Jr.",Missouri,Democratic
85th,James Murray,Montana,Democratic
85th,Mike Mansfield,Montana,Democratic
85th,Carl Curtis,Nebraska,Republican
85th,Roman Hruska,Nebraska,Republican
85th,Alan Bible,Nevada,Democratic
85th,George W. Malone,Nevada,Republican
85th,Norris Cotton,New Hampshire,Republican
85th,Styles Bridges,New Hampshire,Republican
85th,Clifford P. Case,New Jersey,Republican
85th,Howard A. Smith,New Jersey,Republican
85th,Clinton Anderson,New Mexico,Democratic
85th,Dennis Chavez,New Mexico,Democratic
85th,Irving Ives,New York,Republican
85th,Jacob K. Javits,New York,Republican
85th,Ben Jordan,North Carolina,Democratic
85th,Sam Ervin,North Carolina,Democratic
85th,W. Kerr Scott,North Carolina,Democratic
85th,Milton Young,North Dakota,Republican
85th,William Langer,North Dakota,Republican
85th,Frank J. Lausche,Ohio,Democratic
85th,John W. Bricker,Ohio,Republican
85th,Almer Monroney,Oklahoma,Democratic
85th,Robert S. Kerr,Oklahoma,Democratic
85th,Richard L. Neuberger,Oregon,Democratic
85th,Wayne Morse,Oregon,Democratic
85th,Edward Martin,Pennsylvania,Republican
85th,Joseph S. Clark,Pennsylvania,Democratic
85th,John O. Pastore,Rhode Island,Democratic
85th,Theodore F. Green,Rhode Island,Democratic
85th,Olin D. Johnston,South Carolina,Democratic
85th,Strom Thurmond,South Carolina,Democratic
85th,Francis H. Case,South Dakota,Republican
85th,Karl Mundt,South Dakota,Republican
85th,"Albert Gore, Sr.",Tennessee,Democratic
85th,Estes Kefauver,Tennessee,Democratic
85th,Lyndon Johnson,Texas,Democratic
85th,Price Daniel,Texas,Democratic
85th,Ralph Yarborough,Texas,Democratic
85th,William A. Blakley,Texas,Democratic
85th,Arthur Vivian Watkins,Utah,Republican
85th,Wallace F. Bennett,Utah,Republican
85th,George Aiken,Vermont,Republican
85th,Ralph Flanders,Vermont,Republican
85th,A. Willis Robertson,Virginia,Democratic
85th,"Harry F. Byrd, Sr.",Virginia,Democratic
85th,Henry M. Jackson,Washington,Democratic
85th,Warren G. Magnuson,Washington,Democratic
85th,Jennings Randolph,West Virginia,Democratic
85th,"John D. Hoblitzell, Jr.",West Virginia,Republican
85th,Matthew M. Neely,West Virginia,Democratic
85th,W. Chapman Revercomb,West Virginia,Republican
85th,Alexander Wiley,Wisconsin,Republican
85th,Joseph McCarthy,Wisconsin,Republican
85th,William Proxmire,Wisconsin,Democratic
85th,Frank A. Barrett,Wyoming,Republican
85th,Joseph C. O'Mahoney,Wyoming,Democratic
84th,John Sparkman,Alabama,Democratic
84th,Joseph L. Hill,Alabama,Democratic
84th,Barry Goldwater,Arizona,Republican
84th,Carl Hayden,Arizona,Democratic
84th,J. William Fulbright,Arkansas,Democratic
84th,John Little McClellan,Arkansas,Democratic
84th,Thomas Kuchel,California,Republican
84th,William F. Knowland,California,Republican
84th,Eugene D. Millikin,Colorado,Republican
84th,Gordon L. Allott,Colorado,Republican
84th,Prescott Bush,Connecticut,Republican
84th,William A. Purtell,Connecticut,Republican
84th,John J. Williams,Delaware,Republican
84th,"Joseph Frear, Jr.",Delaware,Democratic
84th,George Smathers,Florida,Democratic
84th,Spessard Holland,Florida,Democratic
84th,"Richard Russell, Jr.",Georgia,Democratic
84th,Walter F. George,Georgia,Democratic
84th,Henry Dworshak,Idaho,Republican
84th,Herman Welker,Idaho,Republican
84th,Everett Dirksen,Illinois,Republican
84th,Paul Douglas,Illinois,Democratic
84th,Homer E. Capehart,Indiana,Republican
84th,William E. Jenner,Indiana,Republican
84th,Bourke B. Hickenlooper,Iowa,Republican
84th,Thomas Martin,Iowa,Republican
84th,Andrew F. Schoeppel,Kansas,Republican
84th,Frank Carlson,Kansas,Republican
84th,Alben W. Barkley,Kentucky,Democratic
84th,Earle C. Clements,Kentucky,Democratic
84th,John Sherman Cooper,Kentucky,Republican
84th,Robert Humphreys,Kentucky,Republican
84th,Allen J. Ellender,Louisiana,Democratic
84th,Russell B. Long,Louisiana,Democratic
84th,Frederick G. Payne,Maine,Republican
84th,Margaret Chase Smith,Maine,Republican
84th,James Glenn Beall,Maryland,Republican
84th,John M. Butler,Maryland,Republican
84th,John F. Kennedy,Massachusetts,Democratic
84th,Leverett Saltonstall,Massachusetts,Republican
84th,Charles E. Potter,Michigan,Republican
84th,Patrick V. McNamara,Michigan,Democratic
84th,Edward John Thye,Minnesota,Republican
84th,Hubert Humphrey,Minnesota,Democratic
84th,James Eastland,Mississippi,Democratic
84th,John C. Stennis,Mississippi,Democratic
84th,Stuart Symington,Missouri,Democratic
84th,"Thomas C. Hennings, Jr.",Missouri,Democratic
84th,James Murray,Montana,Democratic
84th,Mike Mansfield,Montana,Democratic
84th,Carl Curtis,Nebraska,Republican
84th,Roman Hruska,Nebraska,Republican
84th,Alan Bible,Nevada,Democratic
84th,George W. Malone,Nevada,Republican
84th,Norris Cotton,New Hampshire,Republican
84th,Styles Bridges,New Hampshire,Republican
84th,Clifford P. Case,New Jersey,Republican
84th,Howard A. Smith,New Jersey,Republican
84th,Clinton Anderson,New Mexico,Democratic
84th,Dennis Chavez,New Mexico,Democratic
84th,Herbert H. Lehman,New York,Democratic
84th,Irving Ives,New York,Republican
84th,Sam Ervin,North Carolina,Democratic
84th,W. Kerr Scott,North Carolina,Democratic
84th,Milton Young,North Dakota,Republican
84th,William Langer,North Dakota,Republican
84th,George H. Bender,Ohio,Republican
84th,John W. Bricker,Ohio,Republican
84th,Almer Monroney,Oklahoma,Democratic
84th,Robert S. Kerr,Oklahoma,Democratic
84th,Richard L. Neuberger,Oregon,Democratic
84th,Wayne Morse,Oregon,Democratic
84th,Edward Martin,Pennsylvania,Republican
84th,James H. Duff,Pennsylvania,Republican
84th,John O. Pastore,Rhode Island,Democratic
84th,Theodore F. Green,Rhode Island,Democratic
84th,Olin D. Johnston,South Carolina,Democratic
84th,Strom Thurmond,South Carolina,Independent
84th,Strom Thurmond,South Carolina,Democratic
84th,Thomas A. Wofford,South Carolina,Democratic
84th,Francis H. Case,South Dakota,Republican
84th,Karl Mundt,South Dakota,Republican
84th,"Albert Gore, Sr.",Tennessee,Democratic
84th,Estes Kefauver,Tennessee,Democratic
84th,Lyndon Johnson,Texas,Democratic
84th,Price Daniel,Texas,Democratic
84th,Arthur Vivian Watkins,Utah,Republican
84th,Wallace F. Bennett,Utah,Republican
84th,George Aiken,Vermont,Republican
84th,Ralph Flanders,Vermont,Republican
84th,A. Willis Robertson,Virginia,Democratic
84th,"Harry F. Byrd, Sr.",Virginia,Democratic
84th,Henry M. Jackson,Washington,Democratic
84th,Warren G. Magnuson,Washington,Democratic
84th,Harley M. Kilgore,West Virginia,Democratic
84th,Matthew M. Neely,West Virginia,Democratic
84th,W. Chapman Revercomb,West Virginia,Republican
84th,"William R. Laird, III",West Virginia,Democratic
84th,Alexander Wiley,Wisconsin,Republican
84th,Joseph McCarthy,Wisconsin,Republican
84th,Frank A. Barrett,Wyoming,Republican
84th,Joseph C. O'Mahoney,Wyoming,Democratic
83rd,John Sparkman,Alabama,Democratic
83rd,Joseph L. Hill,Alabama,Democratic
83rd,Barry Goldwater,Arizona,Republican
83rd,Carl Hayden,Arizona,Democratic
83rd,J. William Fulbright,Arkansas,Democratic
83rd,John Little McClellan,Arkansas,Democratic
83rd,Thomas Kuchel,California,Republican
83rd,William F. Knowland,California,Republican
83rd,Edwin C. Johnson,Colorado,Democratic
83rd,Eugene D. Millikin,Colorado,Republican
83rd,Prescott Bush,Connecticut,Republican
83rd,William A. Purtell,Connecticut,Republican
83rd,John J. Williams,Delaware,Republican
83rd,"Joseph Frear, Jr.",Delaware,Democratic
83rd,George Smathers,Florida,Democratic
83rd,Spessard Holland,Florida,Democratic
83rd,"Richard Russell, Jr.",Georgia,Democratic
83rd,Walter F. George,Georgia,Democratic
83rd,Henry Dworshak,Idaho,Republican
83rd,Herman Welker,Idaho,Republican
83rd,Everett Dirksen,Illinois,Republican
83rd,Paul Douglas,Illinois,Democratic
83rd,Homer E. Capehart,Indiana,Republican
83rd,William E. Jenner,Indiana,Republican
83rd,Bourke B. Hickenlooper,Iowa,Republican
83rd,Guy Mark Gillette,Iowa,Democratic
83rd,Andrew F. Schoeppel,Kansas,Republican
83rd,Frank Carlson,Kansas,Republican
83rd,Earle C. Clements,Kentucky,Democratic
83rd,John Sherman Cooper,Kentucky,Republican
83rd,Allen J. Ellender,Louisiana,Democratic
83rd,Russell B. Long,Louisiana,Democratic
83rd,Frederick G. Payne,Maine,Republican
83rd,Margaret Chase Smith,Maine,Republican
83rd,James Glenn Beall,Maryland,Republican
83rd,John M. Butler,Maryland,Republican
83rd,John F. Kennedy,Massachusetts,Democratic
83rd,Leverett Saltonstall,Massachusetts,Republican
83rd,Charles E. Potter,Michigan,Republican
83rd,Homer S. Ferguson,Michigan,Republican
83rd,Edward John Thye,Minnesota,Republican
83rd,Hubert Humphrey,Minnesota,Democratic
83rd,James Eastland,Mississippi,Democratic
83rd,John C. Stennis,Mississippi,Democratic
83rd,Stuart Symington,Missouri,Democratic
83rd,"Thomas C. Hennings, Jr.",Missouri,Democratic
83rd,James Murray,Montana,Democratic
83rd,Mike Mansfield,Montana,Democratic
83rd,Carl Curtis,Nebraska,Republican
